account,segment,seats,monthly_spend
ACC-1000,SMB,31,1516
ACC-1001,SMB,20,737
ACC-1002,SMB,28,790
ACC-1003,Startup,35,1082
ACC-1004,Mid-market,150,7492
ACC-1005,Startup,14,320
ACC-1006,SMB,80,1878
ACC-1007,Startup,89,2225
ACC-1008,Startup,86,3258
ACC-1009,Startup,23,721
ACC-1010,SMB,87,2859
ACC-1011,SMB,76,2870
ACC-1012,Enterprise,340,17961
ACC-1013,Startup,70,3151
ACC-1014,Startup,57,2386
ACC-1015,SMB,35,1039
ACC-1016,SMB,73,2100
ACC-1017,Startup,89,3310
ACC-1018,SMB,26,1056
ACC-1019,SMB,83,3017
ACC-1020,Startup,16,444
ACC-1021,Mid-market,425,23714
ACC-1022,Startup,87,2829
ACC-1023,Enterprise,378,21900
ACC-1024,Startup,9,431
ACC-1025,Mid-market,160,8239
ACC-1026,SMB,63,2610
ACC-1027,SMB,90,2259
ACC-1028,SMB,48,1480
ACC-1029,Enterprise,122,5824
ACC-1030,SMB,65,3342
ACC-1031,Startup,31,1337
ACC-1032,Mid-market,448,20703
ACC-1033,Startup,65,3073
ACC-1034,SMB,12,615
ACC-1035,Enterprise,442,28113
ACC-1036,Enterprise,151,8936
ACC-1037,Startup,47,2362
ACC-1038,Startup,67,3236
ACC-1039,Startup,15,338
ACC-1040,Mid-market,211,11669
ACC-1041,Mid-market,221,14798
ACC-1042,SMB,74,3130
ACC-1043,Enterprise,373,17673
ACC-1044,Enterprise,441,25292
ACC-1045,Startup,8,235
ACC-1046,Enterprise,164,9310
ACC-1047,Mid-market,452,22247
ACC-1048,Mid-market,312,17302
ACC-1049,Enterprise,221,10416
ACC-1050,Startup,66,2966
ACC-1051,SMB,52,2523
ACC-1052,Startup,82,3349
ACC-1053,SMB,24,1225
ACC-1054,Startup,13,326
ACC-1055,Enterprise,197,10090
ACC-1056,Startup,68,3075
ACC-1057,Enterprise,376,18919
ACC-1058,SMB,39,1100
ACC-1059,SMB,86,2731
ACC-1060,Startup,89,4010
ACC-1061,Mid-market,151,7958
ACC-1062,SMB,95,3818
ACC-1063,Startup,66,2441
ACC-1064,Startup,51,1946
ACC-1065,Enterprise,285,17778
ACC-1066,SMB,83,2440
ACC-1067,SMB,58,1363
ACC-1068,SMB,64,3194
ACC-1069,SMB,68,1692
ACC-1070,SMB,40,2047
ACC-1071,Mid-market,435,20228
ACC-1072,SMB,85,2503
ACC-1073,Mid-market,250,15392
ACC-1074,SMB,71,1972
ACC-1075,Startup,58,1690
ACC-1076,Enterprise,202,13382
ACC-1077,SMB,32,1247
ACC-1078,Startup,76,3293
ACC-1079,Mid-market,230,12211
ACC-1080,Enterprise,209,12086
ACC-1081,Enterprise,354,24886
ACC-1082,Startup,45,2325
ACC-1083,SMB,57,2134
ACC-1084,Startup,64,1875
ACC-1085,SMB,26,831
ACC-1086,Mid-market,390,22664
ACC-1087,Enterprise,201,10034
ACC-1088,SMB,12,325
ACC-1089,Enterprise,338,23813
ACC-1090,SMB,63,2214
ACC-1091,SMB,19,820
ACC-1092,Mid-market,333,19974
ACC-1093,Enterprise,394,21732
ACC-1094,Enterprise,291,17082
ACC-1095,Enterprise,266,15579
ACC-1096,Startup,45,1770
ACC-1097,Startup,27,970
ACC-1098,Enterprise,309,17453
ACC-1099,SMB,83,2270
ACC-1100,Startup,26,954
ACC-1101,SMB,16,459
ACC-1102,SMB,27,780
ACC-1103,SMB,91,2543
ACC-1104,Startup,27,1139
ACC-1105,Startup,65,1715
ACC-1106,SMB,44,1106
ACC-1107,Enterprise,378,17593
ACC-1108,Mid-market,198,11397
ACC-1109,Enterprise,236,13008
ACC-1110,Mid-market,200,13484
ACC-1111,SMB,55,2446
ACC-1112,Enterprise,135,6392
ACC-1113,Enterprise,496,33395
ACC-1114,Mid-market,242,16444
ACC-1115,SMB,57,2720
ACC-1116,Enterprise,189,10383
ACC-1117,Mid-market,292,18597
ACC-1118,Startup,50,2243
ACC-1119,SMB,92,2345
ACC-1120,Enterprise,407,27948
ACC-1121,SMB,90,4036
ACC-1122,SMB,20,769
ACC-1123,Startup,25,1105
ACC-1124,Mid-market,137,9398
ACC-1125,SMB,15,476
ACC-1126,Mid-market,391,24150
ACC-1127,Startup,11,426
ACC-1128,Mid-market,299,18069
ACC-1129,Startup,46,1515
ACC-1130,SMB,48,1799
ACC-1131,Startup,33,1680
ACC-1132,Startup,63,2664
ACC-1133,Mid-market,492,32579
ACC-1134,Enterprise,393,19067
ACC-1135,SMB,49,1239
ACC-1136,Startup,19,650
ACC-1137,SMB,66,3382
ACC-1138,Startup,94,2177
ACC-1139,SMB,57,2270
ACC-1140,SMB,46,1586
ACC-1141,Startup,51,1302
ACC-1142,Startup,31,914
ACC-1143,Startup,62,2944
ACC-1144,SMB,83,3887
ACC-1145,Enterprise,200,14219
ACC-1146,Mid-market,197,9386
ACC-1147,SMB,94,2954
ACC-1148,Startup,8,188
ACC-1149,Mid-market,431,30311
ACC-1150,Mid-market,287,15202
ACC-1151,Mid-market,182,9012
ACC-1152,Startup,28,1324
ACC-1153,SMB,33,937
ACC-1154,Startup,85,4357
ACC-1155,Mid-market,255,12736
ACC-1156,Mid-market,311,17715
ACC-1157,SMB,93,4518
ACC-1158,Startup,13,334
ACC-1159,Startup,84,4239
ACC-1160,Startup,64,1736
ACC-1161,SMB,97,2529
ACC-1162,SMB,97,4182
ACC-1163,Startup,26,829
ACC-1164,SMB,85,4155
ACC-1165,Mid-market,411,28324
ACC-1166,SMB,86,4213
ACC-1167,Enterprise,383,26649
ACC-1168,Enterprise,361,18612
ACC-1169,Mid-market,440,30074
ACC-1170,SMB,71,2111
ACC-1171,Startup,91,2454
ACC-1172,Mid-market,292,14247
ACC-1173,SMB,62,1972
ACC-1174,Mid-market,434,26634
ACC-1175,Enterprise,480,26258
ACC-1176,SMB,38,1883
ACC-1177,Mid-market,350,18541
ACC-1178,Startup,9,330
ACC-1179,Enterprise,430,23492
ACC-1180,Mid-market,314,20349
ACC-1181,SMB,82,2900
ACC-1182,SMB,18,632
ACC-1183,Startup,8,299
ACC-1184,SMB,80,2810
ACC-1185,SMB,87,2632
ACC-1186,Startup,35,1484
ACC-1187,SMB,29,826
ACC-1188,SMB,59,2981
ACC-1189,Mid-market,407,27703
ACC-1190,Enterprise,260,13784
ACC-1191,SMB,72,3036
ACC-1192,Startup,18,924
ACC-1193,Enterprise,385,22077
ACC-1194,Startup,31,1253
ACC-1195,Enterprise,201,11113
ACC-1196,SMB,82,2971
ACC-1197,Mid-market,487,24576
ACC-1198,Enterprise,478,24098
ACC-1199,Enterprise,304,20104
ACC-1200,Enterprise,492,30002
ACC-1201,Enterprise,126,6348
ACC-1202,Enterprise,414,24666
ACC-1203,SMB,95,2597
ACC-1204,SMB,93,3841
ACC-1205,Enterprise,480,33240
ACC-1206,Startup,93,2490
ACC-1207,Startup,25,1067
ACC-1208,Startup,29,1459
ACC-1209,Enterprise,283,19881
ACC-1210,SMB,57,1520
ACC-1211,SMB,31,1006
ACC-1212,Startup,96,2216
ACC-1213,SMB,32,1255
ACC-1214,Startup,37,1632
ACC-1215,Mid-market,159,8596
ACC-1216,SMB,27,913
ACC-1217,Startup,61,1476
ACC-1218,Startup,10,286
ACC-1219,Startup,73,3743
ACC-1220,Startup,85,2271
ACC-1221,Enterprise,260,16906
ACC-1222,SMB,22,785
ACC-1223,Startup,98,5065
ACC-1224,Mid-market,238,12802
ACC-1225,Mid-market,253,16128
ACC-1226,Startup,18,598
ACC-1227,Enterprise,399,19609
ACC-1228,Startup,30,822
ACC-1229,Startup,51,2361
ACC-1230,Mid-market,202,10662
ACC-1231,SMB,61,2997
ACC-1232,SMB,39,1349
ACC-1233,Startup,25,1270
ACC-1234,SMB,52,1279
ACC-1235,SMB,77,1909
ACC-1236,Startup,29,647
ACC-1237,Startup,22,919
ACC-1238,Enterprise,439,25836
ACC-1239,SMB,85,2478
ACC-1240,Startup,95,4812
ACC-1241,SMB,51,1956
ACC-1242,Enterprise,202,11066
ACC-1243,Enterprise,254,12673
ACC-1244,SMB,12,603
ACC-1245,SMB,15,588
ACC-1246,Startup,46,1550
ACC-1247,Mid-market,310,14620
ACC-1248,Mid-market,219,15585
ACC-1249,Mid-market,303,16573
ACC-1250,Startup,29,1149
ACC-1251,Startup,68,3036
ACC-1252,Mid-market,450,25780
ACC-1253,Mid-market,417,24599
ACC-1254,Enterprise,356,18458
ACC-1255,Startup,55,1571
ACC-1256,Startup,52,1878
ACC-1257,Startup,20,860
ACC-1258,Enterprise,322,21035
ACC-1259,Enterprise,216,15011
ACC-1260,SMB,46,2353
ACC-1261,Startup,92,2036
ACC-1262,Startup,57,2663
ACC-1263,Mid-market,198,12042
ACC-1264,Startup,27,1323
ACC-1265,Enterprise,121,6850
ACC-1266,Startup,36,1790
ACC-1267,Startup,39,1354
ACC-1268,Startup,19,583
ACC-1269,Mid-market,437,25646
ACC-1270,Startup,13,300
ACC-1271,Startup,84,1856
ACC-1272,Mid-market,138,8840
ACC-1273,Startup,66,1833
ACC-1274,SMB,36,1595
ACC-1275,SMB,43,1743
ACC-1276,Enterprise,159,9733
ACC-1277,SMB,27,655
ACC-1278,Startup,57,2916
ACC-1279,SMB,82,1818
ACC-1280,SMB,84,2342
ACC-1281,Startup,52,1265
ACC-1282,SMB,45,1816
ACC-1283,Enterprise,489,34366
ACC-1284,Startup,93,2288
ACC-1285,Enterprise,385,26215
ACC-1286,Mid-market,333,19907
ACC-1287,Startup,32,1455
ACC-1288,Startup,28,996
ACC-1289,Enterprise,352,23863
ACC-1290,Mid-market,333,16933
ACC-1291,Mid-market,271,14170
ACC-1292,SMB,19,936
ACC-1293,Enterprise,217,12457
ACC-1294,SMB,38,1962
ACC-1295,Startup,68,2726
ACC-1296,Mid-market,380,21663
ACC-1297,Startup,93,2437
ACC-1298,Enterprise,274,15987
ACC-1299,Startup,57,1638
ACC-1300,SMB,87,3676
ACC-1301,Mid-market,301,14664
ACC-1302,SMB,26,882
ACC-1303,Startup,85,3487
ACC-1304,Startup,50,2109
ACC-1305,Startup,46,1086
ACC-1306,Enterprise,285,15698
ACC-1307,Enterprise,303,20414
ACC-1308,SMB,67,1828
ACC-1309,Enterprise,253,14546
ACC-1310,Startup,32,1007
ACC-1311,SMB,15,662
ACC-1312,Startup,93,4102
ACC-1313,Enterprise,170,11259
ACC-1314,Startup,84,4193
ACC-1315,Startup,38,1854
ACC-1316,Enterprise,277,15447
ACC-1317,Startup,65,1546
ACC-1318,SMB,59,2418
ACC-1319,SMB,46,1757
ACC-1320,Startup,72,1852
ACC-1321,Startup,18,706
ACC-1322,SMB,36,1111
ACC-1323,Startup,16,623
ACC-1324,SMB,65,1835
ACC-1325,Enterprise,138,8751
ACC-1326,SMB,26,1005
ACC-1327,SMB,40,1144
ACC-1328,SMB,55,1414
ACC-1329,Mid-market,297,17936
ACC-1330,Startup,26,935
ACC-1331,Mid-market,480,27164
ACC-1332,Mid-market,357,22712
ACC-1333,SMB,74,1784
ACC-1334,SMB,12,391
ACC-1335,Enterprise,396,24327
ACC-1336,Mid-market,126,7860
ACC-1337,SMB,55,2790
ACC-1338,Mid-market,249,15508
ACC-1339,Startup,30,1190
ACC-1340,Mid-market,468,31801
ACC-1341,Startup,21,946
ACC-1342,Startup,12,532
ACC-1343,Startup,87,2673
ACC-1344,SMB,19,691
ACC-1345,Startup,50,2385
ACC-1346,Enterprise,485,32360
ACC-1347,Enterprise,351,18843
ACC-1348,SMB,68,1518
ACC-1349,Enterprise,124,8062
