quarter_start,vendor,revenue_bn,margin_pct
2022-01-01,Northwind,4.2,18.0
2022-04-01,Northwind,4.6,18.8
2022-07-01,Northwind,5.0,19.6
2022-10-01,Northwind,5.5,20.2
2023-01-01,Northwind,5.9,20.6
2023-04-01,Northwind,6.3,21.0
2023-07-01,Northwind,6.7,21.2
2023-10-01,Northwind,7.1,21.4
2024-01-01,Northwind,7.6,21.4
2024-04-01,Northwind,8.0,21.2
2024-07-01,Northwind,8.4,21.0
2024-10-01,Northwind,8.8,20.6
2022-01-01,Calder,2.1,11.0
2022-04-01,Calder,2.7,12.5
2022-07-01,Calder,3.2,14.0
2022-10-01,Calder,3.8,15.3
2023-01-01,Calder,4.3,16.4
2023-04-01,Calder,4.8,17.5
2023-07-01,Calder,5.4,18.4
2023-10-01,Calder,6.0,19.3
2024-01-01,Calder,6.5,20.0
2024-04-01,Calder,7.1,20.5
2024-07-01,Calder,7.6,21.0
2024-10-01,Calder,8.2,21.3
