date,channel,signups
2025-01-01,Organic,51
2025-01-01,Paid,121
2025-01-01,Referral,9
2025-01-02,Organic,48
2025-01-02,Paid,58
2025-01-02,Referral,8
2025-01-03,Organic,30
2025-01-03,Paid,140
2025-01-03,Referral,11
2025-01-05,Organic,15
2025-01-05,Paid,119
2025-01-05,Referral,4
2025-01-06,Organic,44
2025-01-06,Paid,135
2025-01-06,Referral,9
2025-01-07,Organic,43
2025-01-07,Paid,67
2025-01-07,Referral,9
2025-01-08,Organic,29
2025-01-08,Paid,77
2025-01-08,Referral,9
2025-01-09,Organic,41
2025-01-09,Paid,94
2025-01-09,Referral,10
2025-01-10,Organic,48
2025-01-10,Paid,88
2025-01-10,Referral,9
2025-01-11,Organic,12
2025-01-11,Paid,110
2025-01-11,Referral,5
2025-01-12,Organic,15
2025-01-12,Paid,110
2025-01-12,Referral,5
2025-01-13,Organic,54
2025-01-13,Paid,52
2025-01-13,Referral,12
2025-01-14,Organic,47
2025-01-14,Paid,115
2025-01-14,Referral,10
2025-01-15,Organic,51
2025-01-15,Paid,16
2025-01-15,Referral,10
2025-01-16,Organic,51
2025-01-16,Paid,24
2025-01-16,Referral,8
2025-01-17,Organic,46
2025-01-17,Paid,17
2025-01-17,Referral,10
2025-01-18,Organic,20
2025-01-18,Paid,23
2025-01-18,Referral,5
2025-01-19,Organic,18
2025-01-19,Paid,18
2025-01-19,Referral,5
2025-01-20,Organic,39
2025-01-20,Paid,13
2025-01-20,Referral,10
2025-01-21,Organic,62
2025-01-21,Paid,17
2025-01-21,Referral,10
2025-01-22,Organic,57
2025-01-22,Paid,27
2025-01-22,Referral,11
2025-01-23,Organic,55
2025-01-23,Paid,10
2025-01-23,Referral,9
2025-01-24,Organic,50
2025-01-24,Paid,13
2025-01-24,Referral,12
2025-01-25,Organic,12
2025-01-25,Paid,13
2025-01-25,Referral,6
2025-01-26,Organic,17
2025-01-26,Paid,10
2025-01-26,Referral,6
2025-01-27,Organic,56
2025-01-27,Paid,15
2025-01-27,Referral,11
2025-01-28,Organic,33
2025-01-28,Paid,23
2025-01-28,Referral,8
2025-01-29,Organic,34
2025-01-29,Paid,9
2025-01-29,Referral,11
2025-01-30,Organic,49
2025-01-30,Paid,21
2025-01-30,Referral,10
2025-01-31,Organic,33
2025-01-31,Paid,23
2025-01-31,Referral,13
2025-02-01,Organic,15
2025-02-01,Paid,13
2025-02-01,Referral,7
2025-02-02,Organic,20
2025-02-02,Paid,8
2025-02-02,Referral,6
2025-02-03,Organic,47
2025-02-03,Paid,17
2025-02-03,Referral,10
2025-02-04,Organic,52
2025-02-04,Paid,26
2025-02-04,Referral,11
2025-02-05,Organic,45
2025-02-05,Paid,27
2025-02-05,Referral,12
2025-02-06,Organic,47
2025-02-06,Paid,19
2025-02-06,Referral,13
2025-02-07,Organic,47
2025-02-07,Paid,17
2025-02-07,Referral,13
2025-02-08,Organic,20
2025-02-08,Paid,15
2025-02-08,Referral,6
2025-02-09,Organic,16
2025-02-09,Paid,12
2025-02-09,Referral,6
2025-02-10,Organic,40
2025-02-10,Paid,16
2025-02-10,Referral,12
2025-02-11,Organic,56
2025-02-11,Paid,19
2025-02-11,Referral,12
2025-02-12,Organic,38
2025-02-12,Paid,132
2025-02-12,Referral,12
2025-02-13,Organic,41
2025-02-13,Paid,69
2025-02-13,Referral,13
2025-02-14,Organic,61
2025-02-14,Paid,147
2025-02-14,Referral,11
2025-02-15,Organic,13
2025-02-15,Paid,105
2025-02-15,Referral,8
2025-02-16,Organic,22
2025-02-16,Paid,123
2025-02-16,Referral,6
2025-02-17,Organic,48
2025-02-17,Paid,56
2025-02-17,Referral,10
2025-02-18,Organic,56
2025-02-18,Paid,65
2025-02-18,Referral,10
2025-02-19,Organic,59
2025-02-19,Paid,104
2025-02-19,Referral,13
2025-02-21,Organic,44
2025-02-21,Paid,72
2025-02-21,Referral,14
2025-02-22,Organic,16
2025-02-22,Paid,86
2025-02-22,Referral,8
2025-02-23,Organic,18
2025-02-23,Paid,102
2025-02-23,Referral,5
2025-02-24,Organic,64
2025-02-24,Paid,88
2025-02-24,Referral,14
2025-02-25,Organic,42
2025-02-25,Paid,135
2025-02-25,Referral,9
2025-02-26,Organic,67
2025-02-26,Paid,25
2025-02-26,Referral,10
2025-02-27,Organic,46
2025-02-27,Paid,9
2025-02-27,Referral,12
2025-02-28,Organic,43
2025-02-28,Paid,11
2025-02-28,Referral,11
2025-03-01,Organic,24
2025-03-01,Paid,19
2025-03-01,Referral,8
2025-03-02,Organic,26
2025-03-02,Paid,19
2025-03-02,Referral,6
2025-03-03,Organic,44
2025-03-03,Paid,18
2025-03-03,Referral,13
2025-03-04,Organic,45
2025-03-04,Paid,14
2025-03-04,Referral,11
2025-03-05,Organic,43
2025-03-05,Paid,13
