year,rank,language
2014,1,JavaScript
2014,2,Java
2014,3,PHP
2014,4,Python
2014,5,Ruby
2014,6,CSS
2014,7,C++
2014,8,C
2014,9,Shell
2014,10,C#
2016,1,JavaScript
2016,2,Java
2016,3,Python
2016,4,Ruby
2016,5,PHP
2016,6,CSS
2016,7,C++
2016,8,C#
2016,9,Shell
2016,10,C
2018,1,JavaScript
2018,2,Java
2018,3,Python
2018,4,PHP
2018,5,C++
2018,6,C#
2018,7,TypeScript
2018,8,Shell
2018,9,C
2018,10,Ruby
2020,1,JavaScript
2020,2,Python
2020,3,Java
2020,4,TypeScript
2020,5,C#
2020,6,PHP
2020,7,C++
2020,8,C
2020,9,Shell
2020,10,Ruby
2022,1,JavaScript
2022,2,Python
2022,3,Java
2022,4,TypeScript
2022,5,C#
2022,6,C++
2022,7,PHP
2022,8,Shell
2022,9,C
2022,10,Ruby
2024,1,Python
2024,2,JavaScript
2024,3,TypeScript
2024,4,Java
2024,5,C#
2024,6,C++
2024,7,PHP
2024,8,Shell
2024,9,C
2024,10,Go
