date,framework,version_major
2023-09-27,Angular,3
2024-08-27,Qwik,3
2025-04-03,Qwik,1
2023-07-08,Qwik,1
2023-02-23,Qwik,2
2023-03-06,React,3
2024-12-29,Qwik,3
2024-07-10,React,2
2025-03-14,Vue,1
2023-05-12,Solid,1
2024-10-26,Solid,4
2025-01-22,Solid,3
2023-11-02,React,1
2023-12-11,Angular,2
2023-10-09,Solid,4
2023-06-30,Angular,2
2024-01-09,Angular,2
2024-06-24,Qwik,2
2024-06-12,Solid,2
2023-08-02,Angular,1
2024-04-17,Angular,2
2024-02-11,Vue,1
2023-07-02,Solid,1
2024-06-27,Qwik,3
2023-08-12,Qwik,2
2024-07-22,Svelte,3
2023-06-22,Vue,3
2023-09-12,React,4
2024-01-24,Solid,2
2023-08-17,Angular,2
2023-09-12,Qwik,3
2025-02-27,React,3
2023-06-06,Svelte,4
2023-07-19,Vue,2
2023-11-24,Solid,1
2023-04-08,Svelte,4
2024-06-02,Vue,3
2024-10-10,Qwik,4
2023-07-24,Vue,2
2024-12-08,Svelte,3
2024-12-01,Qwik,3
2023-12-17,Qwik,3
2024-02-21,Qwik,2
2025-03-19,Solid,4
2023-08-10,Vue,2
2023-05-03,React,3
2023-07-31,Solid,3
2023-06-17,Vue,3
2025-04-05,Angular,4
2024-09-05,Vue,1
2023-10-29,Solid,2
2023-04-10,Solid,4
2023-09-06,Svelte,3
2024-05-15,Svelte,4
2025-06-03,Svelte,1
2024-08-08,Angular,1
2024-11-21,Angular,3
2025-03-16,React,2
2025-01-13,Svelte,4
2025-03-20,React,2
2023-07-17,React,1
2024-11-20,Solid,3
2024-01-02,React,4
2023-06-14,Svelte,1
2024-06-22,React,3
2024-08-15,Vue,1
2023-04-09,Qwik,4
2023-08-21,React,1
2024-01-29,Solid,3
2023-02-25,React,1
2024-03-19,React,1
2023-10-09,Qwik,1
2023-10-19,Vue,2
2025-06-01,Angular,3
2023-05-23,Angular,2
2024-11-06,Solid,2
2024-10-15,React,3
2023-04-12,React,2
2023-08-23,Vue,3
2025-02-08,Angular,3
2024-04-01,Qwik,1
2024-04-06,Angular,3
2025-06-07,Solid,3
2025-03-02,Solid,2
2024-03-25,Qwik,4
2025-04-21,Qwik,4
2023-02-03,Angular,3
2024-06-27,React,1
2023-01-11,Qwik,4
2023-02-09,Qwik,2
2024-04-09,React,1
2023-07-09,Svelte,2
2024-12-01,Solid,4
2025-01-08,Svelte,3
2023-04-25,Angular,3
2023-03-27,Angular,2
2023-06-02,React,2
2024-04-23,Vue,4
2024-06-05,Angular,4
2025-04-19,Qwik,3
2023-03-20,Solid,1
2025-04-18,Svelte,3
2023-06-22,React,4
2024-10-14,Solid,4
2023-02-06,Svelte,1
2024-09-12,Solid,2
2023-07-28,Angular,2
2025-03-01,React,4
2023-12-21,React,2
2025-03-04,Solid,1
2023-04-10,Vue,3
2024-04-03,Vue,4
2024-09-05,Vue,4
2024-08-06,Qwik,3
2025-01-22,Angular,3
2024-12-14,Angular,3
2023-09-11,React,4
2025-06-16,Qwik,3
2024-08-20,React,2
2024-07-25,Qwik,1
2024-04-10,Qwik,1
2023-02-06,Solid,1
2024-09-11,Svelte,4
2024-06-04,React,3
2023-05-22,Angular,2
2023-05-19,Svelte,3
2023-05-09,Vue,1
2024-04-04,Qwik,4
2025-04-28,Qwik,1
2023-06-22,Qwik,2
2024-06-18,Vue,1
2024-02-03,React,1
2024-08-15,Qwik,3
2024-06-24,React,2
2023-04-28,Vue,3
2024-06-29,React,4
2024-05-21,Angular,1
2023-04-04,Vue,1
2023-01-30,React,3
2024-02-15,React,1
2023-05-19,Qwik,2
2025-06-15,React,4
2024-02-02,React,4
2023-06-29,Vue,4
2024-03-08,Qwik,4
2025-01-18,Angular,3
2023-11-19,Solid,4
2023-11-25,React,4
2023-09-17,Qwik,1
2024-05-24,Vue,3
2024-08-27,Svelte,4
2025-02-26,Angular,3
2023-05-01,Svelte,4
2023-10-15,Svelte,1
2024-11-12,Vue,4
2024-08-05,Angular,4
2025-03-07,Vue,3
2023-01-01,Svelte,1
2023-11-25,Angular,3
2023-09-29,Qwik,1
