weekday,hour,deploys
Mon,08:00,2
Mon,09:00,4
Mon,10:00,9
Mon,11:00,11
Mon,12:00,17
Mon,13:00,28
Mon,14:00,35
Mon,15:00,35
Mon,16:00,19
Mon,17:00,26
Mon,18:00,23
Mon,19:00,11
Tue,08:00,2
Tue,09:00,3
Tue,10:00,9
Tue,11:00,14
Tue,12:00,11
Tue,13:00,33
Tue,14:00,27
Tue,15:00,40
Tue,16:00,35
Tue,17:00,25
Tue,18:00,15
Tue,19:00,13
Wed,08:00,2
Wed,09:00,4
Wed,10:00,8
Wed,11:00,10
Wed,12:00,14
Wed,13:00,29
Wed,14:00,27
Wed,15:00,22
Wed,16:00,17
Wed,17:00,17
Wed,18:00,24
Wed,19:00,16
Thu,08:00,2
Thu,09:00,3
Thu,10:00,5
Thu,11:00,14
Thu,12:00,18
Thu,13:00,20
Thu,14:00,23
Thu,15:00,19
Thu,16:00,27
Thu,17:00,20
Thu,18:00,12
Thu,19:00,9
Fri,08:00,2
Fri,09:00,3
Fri,10:00,10
Fri,11:00,14
Fri,12:00,23
Fri,13:00,32
Fri,14:00,29
Fri,15:00,19
Fri,16:00,23
Fri,17:00,16
Fri,18:00,13
Fri,19:00,8
Sat,10:00,1
Sat,11:00,1
Sat,12:00,2
Sat,13:00,3
Sat,14:00,3
Sat,15:00,2
Sat,16:00,2
Sat,17:00,3
Sat,18:00,2
Sat,19:00,2
Sun,09:00,1
Sun,10:00,1
Sun,11:00,1
Sun,12:00,2
Sun,13:00,4
Sun,14:00,3
Sun,15:00,5
Sun,16:00,5
Sun,17:00,3
Sun,18:00,3
Sun,19:00,1
