state,population_2020,land_area_sq_mi,pop_density_per_sq_mi
Alabama,5024279,50645,99.2
Alaska,733391,570641,1.3
Arizona,7151502,113594,63.0
Arkansas,3011524,52035,57.9
California,39538223,155779,253.8
Colorado,5773714,103642,55.7
Connecticut,3605944,4842,744.7
Delaware,989948,1949,507.9
District of Columbia,689545,61,11304.0
Florida,21538187,53625,401.6
Georgia,10711908,57513,186.3
Hawaii,1455271,6423,226.6
Idaho,1839106,82643,22.3
Illinois,12812508,55519,230.8
Indiana,6785528,35826,189.4
Iowa,3190369,55857,57.1
Kansas,2937880,81759,35.9
Kentucky,4505836,39486,114.1
Louisiana,4657757,43204,107.8
Maine,1362359,30843,44.2
Maryland,6177224,9707,636.4
Massachusetts,7029917,7800,901.3
Michigan,10077331,56539,178.2
Minnesota,5706494,79627,71.7
Mississippi,2961279,46923,63.1
Missouri,6154913,68742,89.5
Montana,1084225,145546,7.4
Nebraska,1961504,76824,25.5
Nevada,3104614,109781,28.3
New Hampshire,1377529,8953,153.9
New Jersey,9288994,7354,1263.1
New Mexico,2117522,121298,17.5
New York,20201249,47126,428.7
North Carolina,10439388,48618,214.7
North Dakota,779094,69001,11.3
Ohio,11799448,40861,288.8
Oklahoma,3959353,68595,57.7
Oregon,4237256,95988,44.1
Pennsylvania,13002700,44743,290.6
Rhode Island,1097379,1034,1061.3
South Carolina,5118425,30061,170.3
South Dakota,886667,75811,11.7
Tennessee,6910840,41235,167.6
Texas,29145505,261232,111.6
Utah,3271616,82170,39.8
Vermont,643077,9217,69.8
Virginia,8631393,39490,218.6
Washington,7705281,66456,115.9
West Virginia,1793716,24038,74.6
Wisconsin,5893718,54158,108.8
Wyoming,576851,97093,5.9
